,file,cid,pos,lemma,path,fileN,status
0,60212,2,0,sPawika,../TextSegmentation/Pickle_Files/60212.p,60212.p,accepted
1,123581,6,6,ariMdama,../TextSegmentation/Pickle_Files/123581.p,123581.p,accepted
2,143245,0,11,sampad,../TextSegmentation/Pickle_Files/143245.p,143245.p,accepted
3,313674,2,0,vartay,../TextSegmentation/Pickle_Files/313674.p,313674.p,accepted
4,105436,5,0,antatas,../TextSegmentation/Pickle_Files/105436.p,105436.p,accepted
5,355429,0,0,kapila,../TextSegmentation/Pickle_Files/355429.p,355429.p,accepted
6,144683,4,0,smfti,../TextSegmentation/Pickle_Files/144683.p,144683.p,accepted
7,304688,0,0,sapadi,../TextSegmentation/Pickle_Files/304688.p,304688.p,accepted
8,330371,4,0,upalakzay,../TextSegmentation/Pickle_Files/330371.p,330371.p,accepted
9,399010,3,0,DarmarAja,../TextSegmentation/Pickle_Files/399010.p,399010.p,accepted
10,89847,1,0,pUjay,../TextSegmentation/Pickle_Files/89847.p,89847.p,accepted
11,386689,3,0,niSA,../TextSegmentation/Pickle_Files/386689.p,386689.p,accepted
12,384615,2,0,BaYj,../TextSegmentation/Pickle_Files/384615.p,384615.p,accepted
13,107460,1,0,rajanI,../TextSegmentation/Pickle_Files/107460.p,107460.p,accepted
14,336120,2,0,rAjan,../TextSegmentation/Pickle_Files/336120.p,336120.p,accepted
15,395760,4,0,prAp,../TextSegmentation/Pickle_Files/395760.p,395760.p,accepted
16,60858,0,6,AsvAday,../TextSegmentation/Pickle_Files/60858.p,60858.p,accepted
17,87586,0,0,SarmizWA,../TextSegmentation/Pickle_Files/87586.p,87586.p,accepted
18,56386,3,0,vinivartay,../TextSegmentation/Pickle_Files/56386.p,56386.p,accepted
19,330593,4,0,indriya,../TextSegmentation/Pickle_Files/330593.p,330593.p,accepted
20,330671,5,0,saMgam,../TextSegmentation/Pickle_Files/330671.p,330671.p,accepted
21,81735,1,0,pitftIrTa,../TextSegmentation/Pickle_Files/81735.p,81735.p,accepted
22,130715,3,0,mahAtman,../TextSegmentation/Pickle_Files/130715.p,130715.p,accepted
23,399257,0,0,mAdfSa,../TextSegmentation/Pickle_Files/399257.p,399257.p,accepted
24,318442,0,1,asuhfd,../TextSegmentation/Pickle_Files/318442.p,318442.p,accepted
25,304872,0,4,atyarTam,../TextSegmentation/Pickle_Files/304872.p,304872.p,accepted
26,144310,4,0,viSru,../TextSegmentation/Pickle_Files/144310.p,144310.p,accepted
27,382251,5,0,parivf,../TextSegmentation/Pickle_Files/382251.p,382251.p,accepted
28,73923,2,9,parizkf,../TextSegmentation/Pickle_Files/73923.p,73923.p,accepted
29,345381,1,0,vigrah,../TextSegmentation/Pickle_Files/345381.p,345381.p,accepted
30,63463,3,0,viSudDi,../TextSegmentation/Pickle_Files/63463.p,63463.p,accepted
31,128373,2,0,virAj,../TextSegmentation/Pickle_Files/128373.p,128373.p,accepted
32,140855,0,0,yayAti,../TextSegmentation/Pickle_Files/140855.p,140855.p,accepted
33,50957,3,9,upari,../TextSegmentation/Pickle_Files/50957.p,50957.p,accepted
