Suc,Suci,315608,1
sam,sami,140135,1
vcAra,vicAra,333703,7
ptf,pitf,358530,3
fz,fzi,107907,0
rAS,rASi,95131,1
rAtr,rAtri,111125,3
nvAsa,nivAsa,337816,2
mtra,mitra,318357,1
sOmadatt,sOmadatti,383279,0
bal,bali,346616,2
nvftt,nivftti,123406,0
vSezaRa,viSezaRa,68370,1
vyAvftt,vyAvftti,68370,2
saMyogn,saMyogin,68370,3
tvarta,tvarita,54418,0
ha,iha,130851,0
vzRu,vizRu,130851,3
vnda,vinda,389178,0
sudakzRa,sudakziRa,389178,2
bahuvDa,bahuviDa,395705,1
dvz,dviz,394377,0
aYjal,aYjali,53667,3
smft,smfti,345108,3
prya,priya,103301,5
kalApn,kalApin,74803,1
SKaRqn,SiKaRqin,74803,3
tyAd,ityAdi,65757,1
ptf,pitf,387198,3
vnA,vinA,340770,2
kzatrya,kzatriya,127605,4
ah,ahi,327333,0
ah,ahi,327333,2
ndarSana,nidarSana,327333,5
pargraha,parigraha,58777,0
pargraha,parigraha,58777,2
tyAd,ityAdi,58777,4
BUm,BUmi,70191,1
vdyA,vidyA,371580,0
ntya,nitya,371580,1
Bd,Bid,133842,2
parcAraka,paricAraka,77356,4
trvft,trivft,77356,7
Sras,Siras,391059,4
vSeza,viSeza,50196,2
prya,priya,376035,3
Srut,Sruti,376035,4
ptf,pitf,137880,2
upakArn,upakArin,137880,4
parcCeda,paricCeda,144862,4
vzaya,vizaya,144862,4
nyat,niyati,70767,0
nyat,niyati,70767,3
vkrama,vikrama,141943,3
vAcaspat,vAcaspati,349747,0
puzkarRI,puzkariRI,358436,4
ptf,pitf,358436,5
vhAra,vihAra,66029,3
Danvn,Danvin,66029,5
ptf,pitf,333705,0
saK,saKi,333705,1
nrguRa,nirguRa,333705,5
ptf,pitf,346182,0
vBIzaRa,viBIzaRa,124809,4
yuDzWra,yuDizWira,128725,0
antka,antika,338596,3
sdDa,sidDa,344153,1
vpula,vipula,102112,0
aDka,aDika,108199,2
vroDa,viroDa,52475,1
ctta,citta,52475,5
vdyA,vidyA,52475,5
as,asi,66072,0
sart,sarit,133164,4
pat,pati,133164,5
har,hari,365560,0
vraha,viraha,365560,0
vdyA,vidyA,52504,3
evaMvDa,evaMviDa,80682,0
vfdD,vfdDi,369158,1
vkraya,vikraya,369158,3
prIt,prIti,342846,2
udaD,udaDi,66371,0
mOnn,mOnin,302809,2
SSu,SiSu,341466,3
budD,budDi,324142,0
sumtra,sumitra,321681,0
yuDzWra,yuDizWira,388498,6
ha,iha,122092,1
rucra,rucira,385514,3
j,ji,334084,1
sabrahmacArn,sabrahmacArin,350137,1
kryA,kriyA,144850,2
pAR,pARi,309433,0
Sukt,Sukti,61049,0
nnd,nind,329296,0
aDka,aDika,145584,1
sD,siD,57790,1
vS,viS,141334,2
parpAlana,paripAlana,141334,3
ctra,citra,340664,0
sAttvka,sAttvika,340664,2
puzpta,puzpita,385008,0
fz,fzi,117372,2
svast,svasti,137868,0
Sz,Siz,355045,0
zazw,zazwi,386224,0
Ad,Adi,74204,2
vdyA,vidyA,140356,0
fz,fzi,141065,0
saK,saKi,104823,0
nrJara,nirJara,135730,7
anupalabD,anupalabDi,59501,4
prIt,prIti,59501,6
pArTva,pArTiva,313554,6
vnASa,vinASa,101913,2
namuc,namuci,81804,1
pratIt,pratIti,309180,3
fz,fzi,329573,0
ptf,pitf,329573,0
dvja,dvija,105343,3
vnaya,vinaya,381758,5
vAln,vAlin,74530,2
parvartana,parivartana,351109,0
kal,kali,104089,1
rkTa,rikTa,369274,4
mun,muni,134760,2
Suc,Suci,300338,5
smta,smita,300338,5
vmuKa,vimuKa,391202,1
pArTva,pArTiva,391202,3
dayta,dayita,341839,0
ctra,citra,341839,1
vAln,vAlin,70162,3
BUm,BUmi,102854,3
dehn,dehin,328182,2
rAtr,rAtri,362942,2
lK,liK,368398,3
Ad,Adi,368398,6
mtra,mitra,377399,1
vaRj,vaRij,362278,1
sOmadatt,sOmadatti,130472,0
vrAwa,virAwa,130472,1
kalNga,kaliNga,380452,2
ar,ari,380452,3
hta,hita,52835,5
kzatrya,kzatriya,317197,5
trtaya,tritaya,54742,2
mun,muni,135242,0
at,ati,116965,2
vD,viDi,116965,6
hta,hita,116965,7
samApt,samApti,344363,1
budD,budDi,360856,4
yuDzWra,yuDizWira,124563,0
vAgmn,vAgmin,124563,2
prya,priya,143591,4
vftt,vftti,318132,3
kryA,kriyA,328331,1
sdD,sidDi,328331,1
kryA,kriyA,67985,1
z,iz,67985,4
jawla,jawila,349544,1
yaSasvn,yaSasvin,101529,4
nBa,niBa,120458,1
dvja,dvija,91419,5
hastn,hastin,379719,0
sudakzRa,sudakziRa,386185,0
vDavA,viDavA,94872,0
fz,fzi,321482,1
mUrt,mUrti,303702,2
vSva,viSva,303702,3
yon,yoni,303702,3
yuDzWra,yuDizWira,329060,0
vSeza,viSeza,342991,1
sdDa,sidDa,128493,2
baln,balin,305516,0
at,ati,305516,0
kzp,kzip,305516,1
parkzt,parikzit,135828,0
vSeza,viSeza,135828,2
praptAmaha,prapitAmaha,135828,4
DarmzWa,DarmizWa,131760,0
vAdn,vAdin,131760,1
ndrya,indriya,131760,4
pRqa,piRqa,338867,2
vD,viDi,338867,4
lh,lih,50059,5
vSeza,viSeza,312053,0
Ad,Adi,361737,4
vfzR,vfzRi,102014,3
lNga,liNga,311548,2
dvvDa,dviviDa,311548,3
pavtra,pavitra,70778,1
dOhtra,dOhitra,81002,1
ndIvara,indIvara,306224,0
ha,iha,324824,1
ASvna,ASvina,353764,0
dvja,dvija,331747,7
vctra,vicitra,379767,0
karRkAra,karRikAra,379767,1
fz,fzi,358448,1
yuDzWra,yuDizWira,108881,4
Adtya,Aditya,107764,3
aSvn,aSvin,107764,4
Sras,Siras,336609,4
Sras,Siras,125017,1
dfzw,dfzwi,145111,3
z,iz,379012,3
z,iz,71296,1
vdyut,vidyut,71296,4
jIvta,jIvita,341962,0
vSramBa,viSramBa,341962,3
pratyarTn,pratyarTin,341962,5
saptat,saptati,394902,2
yuDzWra,yuDizWira,317826,0
salla,salila,394981,3
Kd,Kid,364584,1
kzatrya,kzatriya,385791,4
vza,viza,55001,0
pratvAta,prativAta,322844,3
zvAsa,izvAsa,386583,2
yogn,yogin,346669,5
duhtf,duhitf,105572,3
,i,82022,3
nSA,niSA,387116,3
ptf,pitf,135780,0
npAta,nipAta,133909,2
DArn,DArin,117987,0
Srut,Sruti,117987,3
